,company,position,url,location,Job Description
1, Pinnacle Group,Data Analyst,https://www.glassdoor.com/partner/jobListing.htm?pos=507&ao=83255&s=58&guid=000001676baf3919883bda33e23bfbf4&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_6e21b6b9&cb=1543699905241&jobListingId=3026418800," – Dallas, TX","Role: Data Analyst

Location: Terminal E Gate 17, Dallas, TX 75261

Duration: 6 Month contract initially

Positions: 1

Job Description:

The Performance Specialist is a vital element to Clients success in Technical Operations.

This candidate works with a group to provide operational insights to Planning, Engineering, Production, Reliability and Support (Clients Internal Customers).

They facilitate this by learning about the data models for Clients maintenance systems, understanding business challenges, discovering organizational tools that are available and then delivering a solution that is of best quality that can be provided.

Clients days are spent working with Clients Internal Customers to better understand their challenges and what can be done to reduce or eliminate those challenges.

Work Activities or Context:

Serves as the focal point for gathering requirements, designing, and scheduling reports.

Proactively looks for ways to improve current reporting and automation procedures.

Performs periodic, ad hoc queries as needed by the business.

Participates in special projects involving initiatives with the business, specifically with Clients Technology group when needed.

Ensures high-quality, daily deliverables by monitoring and communicating issues with Clients Customers and Clients Technology group in a timely manner.

Assists team with testing and authoring solutions when needed.

Serves as lead or owner for report publications and daily automation jobs.

Education:

Bachelors degree or equivalent work experience required.

Work Experience:

Three or more years of broad-based relevant business experience, specifically in the areas of data aggregation, analysis, and reporting required.

Three or more years experience writing SQL against enterprise databases (e.g. Oracle, Teradata, Sybase) required.

Three or more years experience with an enterprise business intelligence platform (e.g. Crystal Reports, SQL Reporting Services) required.

Extensive proficiency in Microsoft Office Suite, especially in Excel (e.g. macros, advanced formulas, pivot tables) required.

Three or more years experience writing automated solutions in a scripting language (e.g. VB Script, VBA) preferred.

Previous experience in data mining, grooming, and aggregation from multiple sources preferred.

Strong math and statistical skills preferred.

Previous experience in Tableau and Alteryx preferred.

Skills or Abilities or Knowledge or Work Style:

Must be able to work well with others as part of a Team.

Proficiency and extensive use of spreadsheets, word processing, graphics, and database software.

Possess strong problem solving skills.

Must possess strong oral and written communication skills.

Must possess strong task organization skills.

Self-motivated and ability to perform with minimal supervision.

Maintain high quality even in complex situations with tight deadlines.

Familiarity with relational database concepts.

Ability to analyze technical issues, find root cause, and recommend alternative solutions.

Work well with people at all levels of the organization.

Work well under pressure while performing multiple concurrent tasks with frequent interruptions.

Perform job functions with limited supervision.

Demonstrate initiative and possess the willingness and skills to adapt and change as technology or processes change."
2, HSB SOLOMON ASSOCIATES,Business Data Analyst VBA\/SQL,https://www.glassdoor.com/partner/jobListing.htm?pos=219&ao=433326&s=58&guid=000001676baebe6daabc77ce246e02ce&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_2528bcd7&cb=1543699873819&jobListingId=2923961566," – Dallas, TX","Title

Business Data Analyst VBA/SQL

04-Sep-2018

Job Description

Solomon, the leading performance improvement company for the global energy industry, is seeking candidates for a Business Data Analyst (VBA/SQL/advanced analytics) position to work in a dynamic, fast-paced business environment. This position will work closely with energy industry experts to design and conduct industry benchmarking studies. While these experts provide in-depth knowledge of the industry, these experts must be leveraged by partnering with a skilled data analyst capable of processing large amounts of benchmarking data through various automation tools. As such, this position will play a vital role in all aspects of the benchmarking process, including:• Designing electronic form-based solutions for consistently collecting participant data



Maintaining a relational database for storing the collected data
Performing database uploads, calculations, and queries
Validating the data for accuracy by designing data quality checks
Using advanced analytics methods and tools to perform first- and second-level data analysis
Designing and building electronic reports and data visualizations that provide participants with key insights about their performance
Reviewing the final reports for accuracy and delivering them to participants while maintaining the highest level of quality and confidentiality


This role often requires developing creative solutions to respond to ad hoc data requests from both the industry experts and clients. To be successful in this role, the person must be highly collaborative, innovative, responsive, and versatile with the ability to effectively build strong partnerships. The position is located in Solomon’s Dallas, Texas office.

Auto req ID

2292BR

Qualifications

Education

Required:
Bachelor of Science or Bachelor of Arts in Computer Science, Mathematics, or equivalent
Preferred:
Engineering degree or MBA
Work Experience

Required:• 3–7 years of programming experience in a Microsoft environment (VBA, Excel macros, etc.)



1–5 years Microsoft SQL database programming experience
Experience using advanced analytical methods and tools (such as Tableau, Power BI, custom tools, etc.)Technical Skills
Required:
Microsoft Office VBA development, Database development (Microsoft SQL Server preferred)
Preferred:
C# programming, VB.NET programming, Web programming (JavaScript, HTML, etc.)
Non-Technical Skills

Required:• Excellent writing and verbal skills working with both developers and non-technical personnel



Proficiency in Microsoft Office products (particularly Excel and PowerPoint)Preferred:

Experience in an engineering firm, especially oil, gas, or petrochemicals
Other


Required:• Strong analytical skills, attention to detail, the ability to work independently with limited supervision



High energy and an inquisitive mindPreferred:
Bilingual
State

Texas

Employment Type

Full Time

Additional InformationWe are an equal opportunity employer. Qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability or protected veteran status.

The work environment characteristics, and any physical and mental requirements described here are representative of those that must be met by an employee to successfully perform the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.

This job description is not designed to cover or contain a comprehensive listing of activities, duties or responsibilities that are required of the employee. Other duties, responsibilities and activities may change or be assigned at any time with or without notice.City

Dallas

Country

United States of America
"
3, American Cybersystems,Data scientist or data modeler,https://www.glassdoor.com/partner/jobListing.htm?pos=221&ao=83255&s=58&guid=000001676baebe6daabc77ce246e02ce&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_9aca50c8&cb=1543699873821&jobListingId=3028771764," – Dallas, TX",Looking for Data Scientist or Data Modeler who has hands on experience with Amazon Sagemaker.Experience with Machine learning tools. Skills Required:Data Science / Data ModelingAmazon SagemakerMachine Learning Tools
4, Match,Senior Data Analyst (Product Analytics),https://www.glassdoor.com/partner/jobListing.htm?pos=207&ao=134428&s=58&guid=000001676baebe6daabc77ce246e02ce&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_2775cf7f&cb=1543699873805&jobListingId=2730192781," – Dallas, TX","We are looking for a Senior Data Analyst to join our Product Analytics team!

What's the team like?

Our team's mission is to use data to deliver long-term strategic insights. We also provide short-term guidance on A/B tests, user behavior etc. We leverage data to understand our users: what they need, what they do, how to retain them and ultimately how to help them find the best dates.

We also work to support business trends/forecasting, model the impact of new product ideas on Revenue/EDITDA and other metrics.

What's my day-to-day?

You will help guide Match's product decisions by crunching large data sets, analyzing, building models and driving key insights. You'll also work with other cross-functional teams like Finance, CRM, Engineering and Business Intelligence.


Provide internal consulting to product management, marketing and CRM teams on A/B tests as they move from initiatives from concept to market
Identify strategic opportunities to apply data science where it will offer cross functional benefits
Provide key insights to internal customers on their specific ad-hoc needs
Serve as the subject matter expert on applying various statistical methodologies towards distilling actionable insights
Research issues about customer behavior/changes by analyzing relevant metrics, trends etc. supporting enterprise level initiatives
Assist with conducting member market research - design questionnaires, analyze data and provide meaningful insights

What skills is Match looking for?

3+ years of SQL (T-SQL preferred)
Exposure to applied statistics (descriptive statistics, statistical testing, design of experiments, linear modelling, time series analysis etc); Python/SPSS/SAS/R experience a strong plus
Hands on experience with ML platforms such as tensorflow highly desirable
Advanced Excel knowledge
Excellent problem solving skills
Bachelor's or Master's degree in Mathematics, Computer Science, Engineering / related field, Marketing, or MBA with quantitative focus
Self-starter with good communications skills
Experience in consumer internet preferred

*applicants will be required to complete a SQL and Data Analysis skills assessment test

Why Match?

A lot of businesses say they change lives, but we actually do it. We've helped millions of people find love and happiness.


You can wear jeans every day
Our benefits and perks are pretty amazing
Drinks and snacks are on us every single day
We have happy hours monthly, so there's always something to celebrate
"
5, Mr. Cooper,"Operational Risk, Senior Data Analyst-2",https://www.glassdoor.com/partner/jobListing.htm?pos=522&ao=136635&s=58&guid=000001676baf3919883bda33e23bfbf4&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_e36cfba2&cb=1543699905264&jobListingId=2994209127," – Dallas, TX","When you click 'Apply', you will need to click on 'Create Account'. By creating an account, you will be able to view your applications and their statuses. Your password must contain 8 characters, 1 upper case letter, 1 number and 1 special character.Check It Out!Ready to be a Cooper too? This might just be right up your alley!

The Operational Risk, Senior Data Analyst-2 will be responsible for supporting the data analytics and reporting needs of the Enterprise Risk Management Department. This position reports to the Manager of Data Analytics. This person will also deliver outstanding services to business partners and act as a leading member of the company’s team of enterprise risk management professionals.

ESSENTIAL JOB FUNCTIONS:

Develop and maintain reports for to monitor Key Risks across enterpriseDesign and perform analysis for business unit operations to review risk thresholdsDevelop report to monitor remediation effectiveness of a given process.Identify reporting opportunities that will help in consolidations of various reporting across risk and compliance teamsCreate dashboards that provide aggregate information regarding departmental operations, perform ad hoc analysis to identify potential issuesData mine a large population of data to help identify relevant information and build scripts to consolidate reporting elements.Other duties as assigned.

FUNCTIONAL JOB COMPETENCIES

Strong analytical, critical thinking and problem solving abilities with industry knowledgeExcellent written and verbal communication skillsAbility to prioritize tasks, be highly organized, and work independentlyAbility to oversee multiple projects at a time and meet deadlinesCapabilities to gather, analyze, and evaluate facts, and prepare and present concise conclusions.

EXPERIENCE & EDUCATION REQUIREMENTS

Graduation from a 4-year course work and 2+ years’ experience is preferred. Will consider the equivalent combination of job experience & education.Proficiency with MS Office (Excel, Power Point etc.) and strong data skills are required.Experience/Course Work Data Structure such as MS SQL/OracleExperience with data mining, data manipulation, and reconciliation is a strong plus.Knowledge of SAS data mining and manipulation is a plus.

Job Requisition ID:4812Job Category:RiskPrimary Location City:DallasPrimary Location Region:TexasPrimary Location Postal Code:75019Primary Location Country:United States of AmericaPosting Organization:Mr. CooperLine of Business:CorporateAdditional Posting Location(s):

Alternate Requisition:No"
6, Oracle,2018-19 College Recruiting Data Scientist,https://www.glassdoor.com/partner/jobListing.htm?pos=705&ao=359521&s=58&guid=000001676baf84639ceae971809b4bc9&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_37ab5797&cb=1543699924432&jobListingId=2909391657," – Irving, TX","Designs, develops and programs methods, processes, and systems to consolidate and analyze unstructured, diverse big data sources to generate actionable insights and solutions for client services and product enhancement.

Interacts with product and service teams to identify questions and issues for data analysis and experiments. Develops and codes software programs, algorithms and automated processes to cleanse, integrate and evaluate large datasets from multiple disparate sources. Identifies meaningful insights from large data and metadata sources; interprets and communicates insights and findings from analysis and experiments to product, service, and business managers.

Duties and tasks are standard with some variation. Completes own role largely independently within defined policies and procedures. 2 years relevant experience and BA/BS degree preferred.



Oracle is an Equal Employment Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, sexual orientation, gender identity, disability and protected veterans status or any other characteristic protected by law.*


Data scientistsdevelop and program processes and systems to consolidate and analyzeunstructured and diverse big data sources. You will generate actionableinsights and solutions for client services and product management.

To be consideredfor these positions, you must possess the Objective Minimum Qualifications(OMQs) below.

Please ensurethat your application clearly indicates which of the following OMQs you meet,either on your resume and/or by uploading additional documents such as atranscript.



*
Objective Minimum Qualifications (OMQs):*


Have at least aBachelor s degree in an applied business/quantitative field such as Economics,Operations Research, Applied Mathematics, Computer Science, Statistics,Business Analytics or other discipline with a focus on analytical problemsolving and quantitative analysis by August, 2019

Have no more than2 years of professional full-time work experience in the technology field(excluding internships, research assistant, and/or teaching assistant roles,military experience, etc.) If you are interested in working at Oracle and youhave more than 2 years of work experience in the technology field, please applyto Oracle s experienced job openings. For information on currently openpositions at Oracle, please visit https://oracle.taleo.net

Have academiccourse work, completed project research or have prior work experience withtools needed to execute the more technical aspects of statistical dataanalysis, including proficiency in at least two of the following: Python, SQL,R, SAS, Java, Hive, Spark, Hadoop

Have proficiency inMicrosoft Office Products (most notably Excel, PowerPoint, and Word), as demonstrated by completed project work, prior research or work experience, or skill set.

Residein the United States and/or attend a university in the US

Able to obtainwork authorization in the US in 2019



*Job:** **Business Operations*
*Organization:** **Oracle*
*Title:** *2018-19 College Recruiting Data Scientist*
*Location:** *United States*
*Requisition ID:** *1800111G*
"
7, Citibank,Data Scientist - Sr. Programmer Analyst,https://www.glassdoor.com/partner/jobListing.htm?pos=825&ao=37049&s=58&guid=000001676baf9ea18c18a54b96fc2aa8&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_8d4ae3e5&cb=1543699931244&jobListingId=2905248376," – Irving, TX","
Primary Location: United States,Texas,IrvingEducation: Bachelor's DegreeJob Function: TechnologySchedule: Full-timeShift: Day JobEmployee Status: RegularTravel Time: Yes, 10 % of the TimeJob ID: 18048603


Description

Citibank is one of the largest digital banks in the world, spanning over

140 countries and holds over 200,000 customer accounts. The diversity of

businesses within Citibank (Retail Bank, Cards, Mortgage, Investments etc.),

within each of these countries presents a large portfolio of customer needs to

be delivered through elegant experiences. We believe that building a

world-class banking and financial technology platform is the only way to

support Citibanks unlimited growth potential, while continuing to provide

excellent service to both internal businesses and external stakeholders. Citi is hiring a Data Scientist to join the growing digital technology team
Role Description 

Hands on experience in predictive analytics and statistical tools, machine learning algorithms and big data toolsIdentify, analyze and interpret trends or patterns in complex data sets using unsupervised ML approaches Use statistical techniques to interpret data and analyze resultsManipulate, extract, process, and analyze large data sets to develop insights and surface implicationsCreate visualizations to visually represent data for consumption by different audiences


Qualifications

Required Technical Skills 

SQL, R or PythonFrameworks/libs: sklearn, nltk, genism, pandas, numpy, matplotlibVisualization toolsets and web app creation with popular JS frameworks (Angular, d3.js)

Desirable Technical Skills 

Hadoop, Spark, Elastic Stack, GitFamiliarity with HTTP and invoking web-APIs 

Personal Skills

Experienced in managing work with distributed teamsExperience working in SCRUM methodologyProven sense of high accountability and self-drive to take on and see through big challengesConfident, takes ownership, willingness to get the job doneExcellent verbal communications and cross group collaboration skills

Total Experience Required 

2+ years of relevant experienceNLP exposure beneficial 
"
8, CoreLogic,Senior Data Analyst - Credit Data,https://www.glassdoor.com/partner/jobListing.htm?pos=720&ao=134270&s=58&guid=000001676baf84639ceae971809b4bc9&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_b71f1d58&cb=1543699924457&jobListingId=3035823294," – Irving, TX","Posting Title

Senior Data Analyst - Credit Data

19-Apr-2018

Job Description

This position is regulatory focused with expertise in consumer reporting agency products, services including consumer direct services, credit bureau reporting and data broker services as it pertains to our personal identification and credit management. This spans from pre-analysis to determine if the data received from county or 3rd party sources meet the specifics needed to be considered for inclusion. Writing the business rules utilized for programming and UAT QA, to conducting the final review to make sure the programming and QA were sufficiently done, to having expert level knowledge of our data assets and processes.

Job Duties


Strong subject matter expertise in developing compliance management, privacy and data governance programs to streamline business processes and enhance operational controls.Proficiency in consumer privacy regulations, such as FCRA and GLBA.Drives decisions of business rule changes based on data content analysis. Engages with business units to evolve data into meaningful business intelligence goals.Analyzes data with basic statistical and query methods and visualization techniques, interprets results, and provides written summaries of data analyses. Document business requirements and investigate data issues and anomalies Create resolution requirements with the project team, internal and external stakeholders Perform data standardization to drive meaningful business reports based on consultation and analysis of internal and external customers and product needs. Designs or creates queries to extract the desired data, formats the data and validates the results and creates/runs supporting reports Ensures data quality and data integrity throughout the data collection process. Makes recommendations to improve data quality and availability. Helps to identify the appropriate sources of information and the business rules required to transform source data to meet customer and business intelligence needs. Gathers, compiles, analyzes and documents information on business intelligence reporting needs. Develops useful and insightful information from a variety of data sources and data models to be used in updating and advancing product capabilities.Applies knowledge to evaluation, analysis, and interpretation of data. Conceptualization of data and shares knowledge through effective presentation of the data to internal stakeholders and external clients. Participates in ongoing decisions regarding design, data collection and data analysis. May interface directly with clients in response to data inquiries, review and explain data content and solicit client feedback as it relates to data enhancements.

Requisition #

12054BR

Position Type

Full Time

Job SummaryJoin the team that powers the global real estate economy - CoreLogic is an innovative, future focused company whose vision is to deliver unique property-level insights that power the global real estate economy.

We are a $1.95 billion in sales company with more than 6,000 employees globally serving the financial services and insurance industries. We are evolving at a rapid pace and the clients we serve are challenged from every direction, which means we are growing and innovating to help drive their success. Working together, and differentiated by our superior data, analytics and data-enabled solutions, we empower our clients to make smarter business decisions through data-driven insights. We take initiative, are fully accountable, build respect and trust, make transparency a must — and engage, include and collaborate at every turn.

We take pride in our work and believe in cultivating a work environment that supports and values our greatest asset: our talented employees.State/Region/Province

TX

% Travel Involved

Less than 10%

Job Requirements

Education, Experience, Knowledge and Skills

Experience with consumer reporting agency products and services, credit bureau reportingExperience with consumer privacy regulations, FCRA Knowledge of Metro2 and CRRG guidelinesBusiness process analysis, exception management, and data quality management expertiseFundamental desire to enhance processes and data to ensure data accuracy10+ years of related experience dealing with property (sales and mortgage) data10 years demonstrated experience and deep knowledge of working with data structuresExcellent critical thinking and analytical skillsStrong understanding of data quality assurance processes and proceduresStrong interpersonal and collaborative skillsStrong verbal and written communication skillsIntermediate experience with SQL querying/programmingWorking knowledge of real estate data and terminology, preferably CoreLogic dataAbility to adapt to ambiguity and be excited by data exploration

CoreLogic offers an empowered work environment that encourages creativity, initiative and professional growth and provides a competitive salary and benefits package. CoreLogic is an Equal Opportunity/Affirmative Action employer committed to attracting and retaining the best-qualified people available, without regard to race, color, religion, national origin, gender, sexual orientation, gender identity, age, disability or status as a veteran of the Armed Forces, or any other basis protected by federal, state or local law. CoreLogic maintains a Drug-Free Workplace. We are fully committed to employing a diverse workforce and creating an inclusive work environment that embraces everyone’s unique contributions, experiences and values. Please apply on our website for consideration.Category

Operations

City

Irving

Business Segment

Corporate Shared Services

Country

United States
"
9, Mpower Talent Solutions,Data Analyst II,https://www.glassdoor.com/partner/jobListing.htm?pos=618&ao=372858&s=58&guid=000001676baf68e5b6fb059eab36ebdc&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_af797ec7&cb=1543699917511&jobListingId=3039576152," – Addison, TX","Job DescriptionJob Title: Data Analyst II

Exempt/Non-Exempt: Exempt

General Summary:

Immediate need for a Data Analyst II in Addison, Texas. This is an exciting opportunity to work in Healthcare Analytics for a rapidly growing organization where you will primarily support the optimization of the revenue cycle process through data analysis, ad hoc reporting, and application support.

This position is responsible for all things related to workflow analytics'. The position will work with business unit leaders to provide decision support and drive efficiencies. The company is looking for someone who is self-motivated, thrives in a fast-paced environment, and can work on multiple projects simultaneously.

RESPONSIBILITIES:

Be the lead workflow analytics liaison
Troubleshoot, repair, and update the workflow analytics platform
Query and analyze financial, operational, and clinical data.
Produce reports, dashboards, and analyses to provide insights to the business.

KNOWLEDGE, SKILLS, and ABILITIES:

Strong in MS Excel with basic VBA knowledge
Experience 1+ year in MS SQL
Healthcare RCM/claims workflow experience and knowledge a plus
MS PowerApps/PowerBI suite knowledge a plus as well
Strong analytical and problem-solving skills
Passion and hunger to own RCM resource/workflow analytics

EDUCATION/EXPERIENCE:

Bachelor's degree in Accounting, Finance, Engineering, Economics or similar field.
2-3 years of experience in decision support/business analysis
Excellent interpersonal and communication skills, with the ability to interact at all levels of the organization.

IND123"
10, GM Financial,Data Analyst II-ITS,https://www.glassdoor.com/partner/jobListing.htm?pos=813&ao=320811&s=58&guid=000001676baf9ea18c18a54b96fc2aa8&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_a25d547e&cb=1543699931228&jobListingId=3040371750," – Arlington, TX","The Data Analyst II is responsible for ensuring business data needs are met throughout the project lifecycle by working directly with Business Owners and other Data Warehouse and IT Teams to resolve Data related questions and create logical and well thought out recommendations for data mapping/ transformation modifications.This team member displays a strong understanding of the business and is responsible for the coordination and completion of all aspects of software release and test data management on assigned IT Services projects, including, but not limited to, project definition, planning, documenting processes, overseeing development, testing, and implementation.. The Data Analyst accomplishes goals through the utilization of Data Profiling, Content Comparisons, and other Data Analysis techniques to provide clarity and understanding of Data Warehouse structures and processes. JOB DUTIES Guide business and IT colleagues on the importance of reference Data and Data Standards Work with business and IT customers to collect and document future state requirements and prioritization of test data requests Partner with Data Warehouse Teams to build and document business processes, templates, forms, etc Work with Source Systems to understand and document new Datasets Perform analysis on datasets to identify patterns and document usable sources of sometimes buried information and insights which may require complex extraction techniques Develops test data management plans and strategies for test data lifecycle management including test data discovery, analysis, generation, masking, subsetting, validation, defect resolution, refresh, archival, and purge Partners with project development and quality assurance teams to determine test data requirements, assess test scenarios, and determine the appropriate set of TDM capabilities Participates and contributes to TDM architecture, governance, design, and planning sessions Develops and maintains test data management technologies and solutions for data virtualization and service virtualization Fulfills test data requests Performs other duties as assigned Conforms with all corporate policies and procedures Knowledge Advanced working knowledge of information systems and operations systems for supported business groups Significant experience in a large and complex business environment Strong understanding and working knowledge of Data Analysis and Fact-Finding techniques Strong understanding of Data Warehouse related processes, methodologies and goals Working knowledge of reporting and visualization techniques related to descriptive, diagnostic, and predictive analytics Ability to present complex information in an understandable and complete manner Skills Ability to interact with staff at all levels Proficient with SQL Query Ability to meet expected delivery dates and the tasks necessary to achieve objectives Ability to work directly with senior level management Advanced computer skills and conversance in information technology issues Advanced experience with data visualization concepts and tools Deadline oriented Excellent writing and speaking skills Must be a self-starter and able to manage the investigations function with minimal supervision Strong ability to analyze data using Excel for reporting and data mining purposes Strong in the use of Microsoft Office software Education High School Diploma ​GED acceptable in lieu of diploma required Bachelor's Degree in related field or equivalent work experience in Data Analytics preferred Experience 2-3 years experience in requirement gathering, Data Analysis or Data Modeling required Licenses and Certifications Certificate related to Data Analytics or similar Data area aligned with core job function preferred Work Conditions Occasional overtime or split shifts may be required Fast-paced office environment Must be able to deal with stressful office conditions while troubleshooting problems Strong focus on providing quality service to internal and external customers Flexible schedule with possibility of working long hours Limited travel may be required to support business needs - provided by DiceData Analyst II-ITS"
